LD1,LD2,Classification
-0.9197856348323913,-0.9186319032994996,C2S1
-0.8343198368729609,-0.3190154629878064,C3S1
-1.0903012761005901,-1.126320035057691,C2S1
-1.3040837712767903,-1.537457423419008,C2S1
2.211307230571545,1.0226149165710992,C4S2
-0.40191849145079744,-0.513741551040781,C3S1
0.5243081916934407,2.080975560496346,C3S1
-0.21273205741609907,-0.7827323950249023,C3S1
2.1035488614691378,1.3882682387958303,C4S2
-1.8732963747325622,-1.6991471131159763,C2S1
0.015985961726234715,1.1975815165970194,C3S1
0.9157810414768034,-0.20960664333117732,C3S1
0.32337475989027975,-0.437288458733624,C3S1
0.9164403549921496,3.174040531132907,C4S1
-0.5216480765889656,-1.2057943067687025,C3S1
-1.2148717928572288,-0.3920263520557503,C3S1
2.0081011304394463,2.1712128794890755,C4S2
-1.26659088157199,-1.2847923298570356,C2S1
-0.6494759762494323,-0.40638164230801554,C3S1
-1.007895145520393,-1.9587473330148253,C2S1
-0.7640807517695876,-0.08955290069090391,C3S1
-0.39400738678179187,2.5307893210661003,C3S1
0.863097381264433,-1.0809576415180127,C3S2
-0.3812569020165121,-1.079222098683421,C3S1
-1.4242653651250483,-1.505965265523651,C2S1
-1.6726666521368032,-1.3623191927339946,C2S1
-1.6090039476992741,-1.5404578901341326,C2S1
0.27888542467591143,0.06758844338668962,C3S1
-1.002315560164281,-0.5974894271997955,C3S1
0.4357825526830501,-0.9652978299363075,C3S1
-0.225561961897015,-0.16240556986779253,C3S1
-0.3302934390311905,0.5439360609326223,C3S1
-0.7980968044295021,-0.9106638742438977,C3S1
-0.3974127763890103,0.5241765855069938,C3S1
-0.014220775980818253,-0.5309350888900911,C3S1
-0.7064859347374904,-0.8150033306277303,C3S1
1.2378415394593687,1.2425245587457627,C3S1
-0.6447176525918351,-0.9505108545111228,C3S1
0.23970380949915984,-0.6711999551624964,C3S1
-0.7111063038172538,-1.352013540737571,C2S1
-0.2935660122561436,-0.5730747067003118,C3S1
-0.9304886552113524,-1.4785844946719715,C2S1
-0.6967706043233379,0.1039316523167611,C3S1
0.6646984807993338,-1.4549157347885473,C3S1
1.2230180188009099,-0.38337081220577907,C3S1
1.1308423595382504,-1.1646440984664925,C3S1
1.1290948114178907,-1.2792584647547145,C3S1
-0.905364529596812,-0.8799285785376939,C2S1
0.06402485653074169,-0.7510565764571856,C3S1
-0.23700940394318767,-0.4307967240307445,C3S1
-0.6626354371414303,-1.7245844002614046,C2S1
0.5165832903300117,0.594841298901022,C3S1
-0.19712373277058814,-0.8589265272991693,C3S1
-0.08003579895160771,-0.8775358502794177,C3S1
-1.040435396565871,-2.0095547444063304,C2S1
0.1873691089664797,-0.511273680454753,C3S1
0.7055740772123841,0.6387545163253847,C3S1
8.159706418006584,-1.2874903974035,C4S4
0.37267655549600764,1.5235632585864491,C3S1
0.7354601466054527,1.248412582837834,C3S1
1.0331872353382305,3.134920279393187,C4S1
-0.7673824510272321,0.2394924948655981,C3S1
5.5556592786716505,-0.5879527453867814,C4S4
-0.5457264269547941,0.21318174639922174,C3S1
-1.2093874440031156,-1.1795035565076064,C2S1
