gwl,pH,TDS,HCO3,Cl,F,NO3,SO4,Na,K,Ca,Mg,T.H,SAR,Classification
4.55,8.17,695.68,140.0,150,2.25,82.54045455,122.0,112.0,2.0,56.0,38.896,299.9342105,2.811753112,C3S1
3.95,8.34,676.48,200.0,150,0.71,62.81127273,115.0,114.0,4.0,56.0,58.344,379.9013158,2.542972223,C3S1
15.18,8.34,352.0,160.0,30,1.55,24.76213636,44.0,61.0,8.0,16.0,29.172,159.9506579,2.097050957,C2S1
10.95,8.07,1064.96,230.0,230,0.65,177.16,152.0,188.0,8.0,80.0,58.344,439.9013158,3.897197208,C3S1
8.02,8.27,590.72,210.0,110,0.81,72.87718182,85.0,114.0,6.0,48.0,34.034,259.9424342,3.07424464,C3S1
10.15,8.45,673.92,220.0,110,0.37,46.30318182,90.0,133.0,7.0,48.0,34.034,259.9424342,3.586618747,C3S1
17.95,8.23,196.48,130.0,20,1.21,5.435590909,27.0,42.0,2.0,8.0,19.448,99.96710526,1.826387374,C2S1
34.85,8.33,819.2,270.0,150,1.36,43.08209091,105.0,136.0,3.0,56.0,53.482,359.9095395,3.116839172,C3S1
12.06,8.14,1188.48,260.0,340,0.2,26.574,171.0,214.0,12.0,80.0,63.206,459.8930921,4.338678745,C3S1
24.01,7.98,1280.0,356.3603859,340,2.52,149.92165,32.0,92.84248259,6.6,56.0,160.446,799.7286184,1.427406237,C3S1
21.17,7.72,1356.8,382.9369833,390,1.04,21.812825,95.0,196.2029156,3.3,112.0,87.516,639.8519737,3.372390552,C3S1
4.58,7.69,1849.6,414.942978,600,0.45,68.2066,110.0,218.734442,3.3,120.0,165.308,979.7203947,3.038353229,C4S1
4.88,8.3,834.56,275.9653557,190,0.616,77.9504,18.0,44.22634977,1.89,184.0,24.31,559.9588816,0.812596957,C3S1
4.23,7.92,810.24,193.934322,180,0.46,183.13915,30.0,100.0220632,1.53,104.0,38.896,419.9342105,2.122156188,C3S1
9.09,7.98,373.12,198.3671489,30,0.95,46.5045,10.0,24.83216741,0.37,56.0,24.31,239.9588816,0.696976888,C2S1
3.5,7.91,1055.36,300.5375921,260,3.08,153.90775,24.0,106.2358424,1.56,48.0,116.688,599.8026316,1.885988528,C3S1
6.65,8.24,2086.4,553.2378092,550,0.99,126.00505,176.0,409.5295499,12.7,80.0,131.274,739.7779605,6.546462941,C4S2
4.5,8.21,1078.4,489.7614248,80,4.9,108.5105,138.25,279.7578626,2.2,40.0,34.034,239.9424342,7.852373252,C3S1
22.39,8.04,965.76,368.4292466,200,1.16,92.5661,21.0,87.94870116,8.57,120.0,63.206,559.8930921,1.616028589,C3S1
32.11,7.48,590.72,300.8101093,50,1.06,65.1063,31.75,75.48433963,1.63,56.0,38.896,299.9342105,1.895029704,C3S1
30.83,7.31,677.76,235.1172326,150,1.12,80.38635,12.25,33.46075998,1.69,80.0,63.206,459.8930921,0.678390131,C3S1
5.32,7.23,835.2,249.0475642,220,1.05,77.5075,23.25,79.92125619,4.17,144.0,29.172,479.9506579,1.586120469,C3S1
30.32,7.64,758.4,272.8950739,170,1.67,70.4211,16.5,107.3902156,3.93,88.0,34.034,359.9424342,2.461049525,C3S1
19.82,7.85,627.2,391.4417759,50,1.74,12.246185,12.75,70.54645356,1.28,40.0,58.344,339.9013158,1.663684335,C3S1
14.83,7.79,630.4,333.3975339,70,1.62,52.97084,12.25,80.46929257,2.0,64.0,38.896,319.9342105,1.956014214,C3S1
7.42,7.32,2297.6,552.000145,720,2.98,143.9425,90.0,409.1738344,190.5,112.0,97.24,679.8355263,6.823042712,C4S1
22.15,7.8,399.36,189.9100716,60,2.01,34.5462,6.25,42.2707476,2.53,80.0,4.862,219.9917763,1.239107169,C2S1
23.75,7.52,598.4,306.5545796,80,2.8,33.88185,15.5,77.92151393,2.2,88.0,19.448,299.9671053,1.956107552,C3S1
7.63,7.45,779.52,380.2096233,100,1.34,81.9365,15.0,106.1481337,3.44,88.0,38.896,379.9342105,2.367719913,C3S1
12.74,7.2,334.08,205.3209584,30,0.97,5.602685,6.0,19.47194868,1.02,64.0,14.586,219.9753289,0.570813969,C2S1
12.76,7.81,437.76,231.7319922,40,0.56,50.9335,9.0,45.93396045,4.37,72.0,14.586,239.9753289,1.289207307,C2S1
18.65,7.32,601.6,328.9507106,80,1.5,17.250955,9.25,51.24898723,2.63,72.0,43.758,359.9259868,1.174494127,C3S1
2.49,7.32,563.84,353.1889565,40,1.5,14.460685,14.25,65.56554923,1.88,88.0,19.448,299.9671053,1.645928827,C3S1
2.82,7.45,408.96,225.4979664,50,0.6,15.169325,7.75,37.77247864,0.48,64.0,19.448,239.9671053,1.060160922,C2S1
14.45,7.69,438.4,293.493258,20,1.37,8.63655,10.0,47.25617918,2.53,56.0,24.31,239.9588816,1.326362864,C2S1
15.3,7.32,613.76,300.531409,100,1.1,39.19665,1.5,65.10218026,2.21,80.0,34.034,339.9424342,1.535200161,C3S1
7.89,7.35,384.0,171.8470359,60,1.7,35.432,11.5,27.65815402,2.26,80.0,9.724,239.9835526,0.776255367,C2S1
3.32,8.02,652.8,254.9079567,100,0.98,106.7389,22.0,52.25441718,1.24,80.0,48.62,399.9177632,1.136082382,C3S1
12.28,8.16,283.52,160.0,20,0.29,31.003,32.0,57.0,3.0,16.0,19.448,119.9671053,2.262642445,C2S1
14.9,8.25,462.08,220.0,70,1.04,31.40563636,51.0,89.0,5.0,32.0,29.172,199.9506579,2.736533392,C2S1
6.88,8.07,426.24,180.0,50,0.74,45.49790909,56.0,75.0,4.0,24.0,29.172,179.9506579,2.430841869,C2S1
11.68,8.24,558.08,170.0,80,1.28,142.3319545,66.0,114.0,2.0,32.0,34.034,219.9424342,3.342123558,C3S1
5.81,8.27,225.28,120.0,20,0.87,20.73577273,32.0,44.0,4.0,16.0,14.586,99.97532895,1.913279506,C2S1
1.38,7.25,1555.2,416.512779,400,0.66,221.45,42.0,129.4793928,4.7,48.0,199.342,939.6628289,1.8364825,C4S1
2.6,8.25,648.96,162.1474986,190,1.14,62.006,21.0,100.3156578,11.0,40.0,43.758,279.9259868,2.606869437,C3S1
5.63,8.4,601.6,171.8690718,120,0.83,86.3655,14.0,84.85990054,8.0,104.0,4.862,279.9917763,2.204966748,C3S1
